AGI	Hydrophilicity	Glycine
At2g19570	-0.10	0.07
At2g45290	-0.25	0.09
At4g29570	-0.05	0.07
At4g29580	-0.10	0.06
At4g29600	-0.14	0.06
At5g28050	-0.11	0.08
At3g23570	-0.26	0.06
At3g23600	-0.09	0.08
At5g64250	-0.01	0.10
At3g30775	-0.21	0.06
At1g30100	-0.34	0.07
At1g78390	-0.34	0.07
At3g14440	-0.30	0.08
At3g24220	-0.23	0.08
At4g18350	-0.29	0.07
At5g23050	-0.10	0.08
At5g36880	-0.18	0.09
At4g34880	0.08	0.08
At5g07360	-0.19	0.06
At1g09780	-0.27	0.10
At1g13440	-0.14	0.08
At1g16300	-0.13	0.08
At1g22170	-0.38	0.05
At1g42970	0.00	0.08
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At1g79530	-0.14	0.08
At1g79550	0.13	0.10
At1g80460	-0.04	0.10
At2g21170	-0.09	0.10
At2g36580	0.02	0.06
At2g40690	0.13	0.06
At2g41540	-0.11	0.07
At3g04050	-0.05	0.06
At3g04120	-0.14	0.08
At3g08590	-0.26	0.10
At3g10370	-0.14	0.08
At3g12780	0.15	0.10
At3g22960	-0.11	0.07
At3g25960	0.04	0.07
At3g26650	-0.02	0.09
At3g43290	-0.69	0.09
At3g49160	-0.17	0.07
At3g55440	0.08	0.09
At3g55650	0.03	0.07
At3g55810	0.06	0.07
At3g56840	-0.19	0.08
At4g26390	-0.02	0.07
At5g04120	-0.34	0.08
At5g08570	0.03	0.07
At5g52920	-0.20	0.07
At5g56350	-0.02	0.07
At5g63680	-0.02	0.07
At1g17290	-0.24	0.07
At1g23310	-0.18	0.09
At1g70580	-0.19	0.08
At1g17290	-0.24	0.07
At1g23310	-0.18	0.09
At1g70580	-0.19	0.08
At4g34880	0.08	0.08
At5g07360	-0.19	0.06
At1g48470	-0.48	0.10
At1g66200	-0.42	0.11
At3g17820	-0.46	0.12
At3g53170	-0.13	0.06
At3g53180	-0.13	0.07
At5g16570	-0.43	0.11
At5g37600	-0.42	0.11
At5g53460	-0.29	0.09
At1g25460	-0.17	0.06
At2g38240	-0.41	0.08
At4g22870	-0.26	0.05
At4g22880	-0.39	0.06
At4g27250	-0.19	0.05
At4g33360	-0.03	0.08
At4g35420	-0.13	0.06
At5g42800	-0.24	0.06
At1g75330	-0.15	0.06
At4g24830	-0.21	0.08
At5g10920	-0.25	0.06
At5g46180	-0.18	0.08
At1g29900	-0.10	0.07
At1g75330	-0.15	0.06
At1g80600	0.11	0.09
At2g19940	-0.14	0.07
At3g27740	-0.30	0.09
At3g57560	0.09	0.09
At4g24830	-0.21	0.08
At4g37670	-0.09	0.10
At5g10920	-0.25	0.06
At4g08870	-0.23	0.10
At5g46180	-0.18	0.08
At3g30775	-0.21	0.06
At4g08870	-0.23	0.10
At5g52810	-0.12	0.07
At4g08870	-0.23	0.10
At5g14800	0.25	0.10
At5g46180	-0.18	0.08
At1g23820	-0.15	0.07
At1g70310	-0.10	0.08
At2g16500	-0.08	0.10
At4g34710	-0.09	0.09
At5g19530	-0.31	0.06
At5g53120	-0.07	0.08
At1g67070	-0.25	0.07
At2g39770	0.03	0.09
At2g45790	-0.38	0.08
At3g02570	-0.29	0.06
At3g55590	0.10	0.09
At4g24620	-0.17	0.08
At5g42740	-0.11	0.07
At5g10240	-0.38	0.07
At5g65010	-0.36	0.07
At1g62800	-0.09	0.07
At1g77670	-0.09	0.06
At1g80360	-0.09	0.09
At2g13810	-0.24	0.08
At2g22250	0.06	0.07
At2g30970	-0.32	0.08
At3g16150	0.05	0.12
At4g31990	-0.17	0.08
At5g08100	-0.01	0.10
At5g11520	-0.11	0.09
At5g19550	-0.12	0.08
At1g62800	-0.09	0.07
At1g77670	-0.09	0.06
At1g80360	-0.09	0.09
At2g13810	-0.24	0.08
At2g22250	0.06	0.07
At2g30970	-0.32	0.08
At4g31990	-0.17	0.08
At5g11520	-0.11	0.09
At5g19550	-0.12	0.08
At2g22330	-0.16	0.05
At3g44300	-0.15	0.09
At3g44310	-0.19	0.09
At3g44320	-0.17	0.09
At4g28680	-0.24	0.08
At4g32540	-0.27	0.10
At4g39950	-0.19	0.05
At5g20960	-0.10	0.08
At1g74920	-0.01	0.08
At3g48170	-0.03	0.08
At4g29890	-0.29	0.08
At1g01390	0.02	0.06
At1g01420	-0.05	0.07
At2g18570	0.01	0.07
At2g22930	-0.02	0.07
At2g29710	0.13	0.06
At2g29730	0.07	0.05
At2g29740	0.04	0.05
At2g29750	0.04	0.06
At3g29630	-0.07	0.07
At4g01070	-0.12	0.07
At5g54010	-0.07	0.08
At5g54060	-0.11	0.07
At1g03630	-0.39	0.07
At1g08520	-0.33	0.06
At1g09940	-0.13	0.05
At1g58290	-0.20	0.06
At1g69740	-0.22	0.07
At2g31250	-0.28	0.04
At2g40490	-0.11	0.07
At3g14930	-0.10	0.08
At3g48730	-0.02	0.12
At3g51820	0.26	0.09
At4g01690	-0.13	0.11
At4g18480	-0.25	0.07
At4g25080	-0.09	0.07
At4g27440	-0.24	0.07
At5g08280	-0.14	0.08
At5g13630	-0.28	0.06
At5g14220	-0.30	0.08
At5g26710	-0.40	0.06
At5g53090	-0.05	0.06
At5g53100	0.03	0.05
At5g54190	-0.21	0.07
At5g63570	0.00	0.12
At5g64050	-0.26	0.08
At1g09940	-0.13	0.05
At1g58290	-0.20	0.06
At1g69740	-0.22	0.07
At2g31250	-0.28	0.04
At2g40490	-0.11	0.07
At3g14930	-0.10	0.08
At3g48730	-0.02	0.12
At4g01690	-0.13	0.11
At5g08280	-0.14	0.08
At5g14220	-0.30	0.08
At5g26710	-0.40	0.06
At5g63570	0.00	0.12
At5g64050	-0.26	0.08
At2g43360	-0.30	0.07
At5g04620	0.10	0.07
At5g57590	-0.07	0.07
At1g50430	0.37	0.08
At1g58440	0.10	0.08
At2g07050	-0.24	0.08
At2g22830	0.00	0.06
At2g38050	0.12	0.07
At3g02580	0.25	0.05
At3g19820	-0.42	0.07
At3g50660	-0.31	0.06
At4g37760	0.14	0.08
At5g05690	-0.09	0.06
At5g24140	0.02	0.07
At5g24150	0.00	0.07
At5g24160	-0.04	0.07
At5g38970	-0.27	0.07
At5g42600	-0.30	0.07
At5g48010	-0.34	0.07
At1g32060	-0.33	0.06
At1g43670	-0.15	0.09
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g71100	0.15	0.10
At1g79550	0.13	0.10
At2g01140	-0.26	0.08
At2g01290	0.06	0.10
At2g21170	-0.09	0.10
At2g21330	-0.13	0.08
At2g36460	-0.15	0.09
At2g45290	-0.25	0.09
At3g01850	0.06	0.08
At3g04790	0.10	0.10
At3g12780	0.15	0.10
At3g52930	-0.22	0.09
At3g54050	-0.22	0.09
At3g55440	0.08	0.09
At3g55800	-0.13	0.09
At4g10750	-0.20	0.09
At4g26520	-0.08	0.08
At4g26530	-0.11	0.09
At4g38970	-0.18	0.08
At5g03690	-0.19	0.09
At5g38410	-0.21	0.06
At5g44520	0.02	0.08
At5g64380	-0.24	0.09
At3g26830	-0.12	0.06
At1g78240	-0.36	0.07
At2g28450	-0.45	0.06
At2g38660	0.13	0.07
At2g44160	-0.31	0.07
At3g13440	-0.05	0.06
At3g18000	-0.44	0.08
At3g59970	-0.19	0.07
At4g10760	-0.46	0.07
At4g31790	-0.15	0.09
At5g23050	-0.10	0.08
At5g24840	-0.33	0.06
At5g36880	-0.18	0.09
At1g65520	0.13	0.08
At4g14430	0.14	0.09
At4g14440	0.13	0.08
At1g65520	0.13	0.08
At4g14430	0.14	0.09
At4g14440	0.13	0.08
At1g06820	-0.09	0.10
At1g08550	-0.34	0.06
At3g04870	-0.14	0.08
At3g10230	-0.11	0.07
At4g14210	-0.16	0.07
At4g25700	-0.14	0.09
At5g17230	-0.26	0.05
At5g57030	-0.10	0.07
At5g67030	-0.30	0.09
At1g04710	-0.04	0.10
At2g33150	-0.03	0.09
At4g37470	0.18	0.07
At5g48880	0.08	0.10
At1g02730	-0.28	0.08
At1g32180	-0.06	0.07
At1g55850	0.02	0.08
At2g21770	-0.19	0.07
At2g25540	-0.17	0.07
