title                    	GC3s	GC	
YCG9_Probable__________13	0.335	0.394	
YCG8________573_residues_	0.439	0.446	
ALPHA2________633_residue	0.328	0.351	
ALPHA1________528_residue	0.345	0.379	
CHA1_________1083_residue	0.328	0.394	
KRR1__________951_residue	0.364	0.384	
PRD1_________2139_residue	0.430	0.397	
KAR4_________1008_residue	0.354	0.383	
PBN1_________1251_residue	0.330	0.386	
LRE1_________1761_residue	0.347	0.419	
APA1__________966_residue	0.385	0.395	
YCE9__________939_residue	0.410	0.433	
YCE8_________1392_residue	0.396	0.370	
YCE7__________777_residue	0.394	0.391	
YCE5_________2283_residue	0.383	0.386	
YCE6__________324_residue	0.400	0.417	
YCE4_________1254_residue	0.468	0.453	
PDI1_________1569_residue	0.556	0.474	
GLK1_________1503_residue	0.581	0.497	
YCD8_________1587_residue	0.353	0.395	
SRO9_________1401_residue	0.424	0.448	
YCD6_________1701_residue	0.528	0.474	
YCD5__________333_residue	0.472	0.421	
YCD3__________507_residue	0.560	0.490	
STE50________1041_residue	0.467	0.438	
HIS4_________2400_residue	0.370	0.425	
BIK1_________1323_residue	0.438	0.438	
FUS1_________1539_residue	0.390	0.411	
YC08__________579_residue	0.390	0.444	
AGP1_________1902_residue	0.396	0.438	
LEU2_________1095_residue	0.382	0.441	
NFS1_________1494_residue	0.356	0.431	
BUD3_________4104_residue	0.358	0.380	
GBP2_________1284_residue	0.329	0.426	
ILV6__________930_residue	0.555	0.501	
CWH36_________393_residue	0.341	0.382	
PEL1_________1251_residue	0.387	0.390	
RER1__________567_residue	0.339	0.346	
CDC10_________969_residue	0.294	0.371	
MRPL32________552_residue	0.299	0.375	
YCP4__________744_residue	0.358	0.451	
CIT2_________1383_residue	0.285	0.398	
YCP7__________720_residue	0.333	0.363	
SAT4_________1812_residue	0.291	0.392	
RVS161________798_residue	0.330	0.384	
YCQ0__________852_residue	0.348	0.422	
ADP1_________3150_residue	0.343	0.380	
PGK1_________1251_residue	0.498	0.462	
POL4_________1749_residue	0.323	0.358	
YCQ7_________2862_residue	0.326	0.396	
SRD1__________678_residue	0.295	0.370	
MAK32________1092_residue	0.385	0.407	
PET18_________648_residue	0.357	0.389	
MAK31_________267_residue	0.321	0.394	
HSP30_________999_residue	0.377	0.429	
YCR3_________1836_residue	0.288	0.380	
SYN_________1479_residues	0.307	0.373	
YCR6_________2232_residue	0.370	0.405	
GNS1_________630_residues	0.332	0.399	
FEN2_________1539_residue	0.334	0.401	
RIM1__________444_residue	0.343	0.395	
CRY1__________414_residue	0.306	0.460	
YCS2________6504_residues	0.336	0.350	
YCS3________3681_residues	0.302	0.394	
GNS1_________1044_residue	0.349	0.383	
RBK1_________1002_residue	0.333	0.396	
PHO87________2772_residue	0.341	0.386	
BUD5_________1617_residue	0.394	0.398	
MATALPHA2_________633_res	0.328	0.351	
MATALPHA1_________528_res	0.345	0.379	
TSM1_________4224_residue	0.331	0.368	
YCT5________1476_residues	0.560	0.479	
PETCR46_______510_residue	0.695	0.525	
YCT7________828_residues_	0.672	0.527	
YCT9_________447_residues	0.615	0.547	
ARE1_________1833_residue	0.698	0.499	
RSC6_________1452_residue	0.506	0.459	
THR4_________1545_residue	0.402	0.405	
CTR86________1692_residue	0.356	0.361	
PWP2_________2772_residue	0.391	0.414	
YCU9_________777_residues	0.608	0.532	
YCV1________1752_residues	0.533	0.499	
G10_________474_residues_	0.566	0.482	
HCM1_________1599_residue	0.411	0.423	
RAD18________1464_residue	0.300	0.379	
CYPR_________957_residues	0.458	0.435	
YCW1________366_residues_	0.419	0.419	
YCW2________1548_residues	0.364	0.434	
SSK22________3945_residue	0.373	0.393	
SOL2__________948_residue	0.516	0.495	
ERS1__________783_residue	0.492	0.433	
PAT1_______2394_residues_	0.417	0.435	
SRB8_________4284_residue	0.390	0.352	
YCX3_________384_residues	0.442	0.417	
TUP1_________2142_residue	0.421	0.456	
YC16________462_residues_	0.649	0.455	
ABP1_________1779_residue	0.397	0.459	
KIN82________2181_residue	0.374	0.399	
MSH3_________3144_residue	0.333	0.366	
CDC39________6327_residue	0.316	0.365	
YCY4________1176_residues	0.312	0.368	
A2____________360_residue	0.342	0.373	
GIT1_________1557_residue	0.295	0.383	
YCZ0_________951_residues	0.298	0.383	
YCZ1________549_residues_	0.282	0.372	
YCZ2________1107_residues	0.418	0.443	
YCZ3________336_residues_	0.443	0.423	
PAU3__________375_residue	0.413	0.478	
YCZ5________1086_residues	0.378	0.437	
YCZ6_______2499_residues_	0.321	0.369	
YCZ7_______1092_residues_	0.349	0.410	
