"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"ID",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
"sCF",81.1,78.91,86.83,30.83,39.86,47.84,41.95,44.73,55.58,96.19,42,48.28,65.13,37.26,34.82,66.94,28.27,61.13,77.57,15.96,76.96,78.85,36.69,72.35,83.29,61.53,36.85,72.67,73,46.85,54.85,65.27,53.12,17.07,78.58,49.72,75.92,0,76.72,88,56.987
"sDF1",17.4,8.04,5.82,34.15,24.95,19.54,33.12,19.38,23.7,0.81,27.22,28.76,25.36,22.81,36.87,19.19,47.07,19.55,15,31.62,17.83,0,25.86,15.22,0.86,21.7,39.31,9.33,21,35.15,12.88,8.37,1.67,15.93,3.3,18.36,10.25,0,13.82,6,18.43
"sDF2",1.5,12.05,7.35,35.02,32.19,31.63,22.93,35.88,20.73,0,30.78,22.96,9.51,39.93,27.31,13.86,24.66,19.32,7.43,49.42,5.22,21.15,32.45,9.43,14.86,13.77,14.84,8,0,18,32.27,24.36,42.2,64,11.12,29.92,4.83,49,7.46,0,21.183
"sN",3.74,10.35,15.51,13.56,11.87,9.73,8.95,9.09,8.2,5.69,7.73,7.82,10.46,7.84,9.73,10.85,8.34,9.18,4.91,3.53,8.56,3.01,7.52,9.4,9.99,2.62,4.08,1.69,1.41,9.75,16.41,6.63,3.56,3.15,2.99,11.44,5.74,0.53,6.07,1.64,7.332
"br.length",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"emp.dnet",0.246,0.377,0.475,0.365,0.299,0.237,0.27,0.22,0.304,NA,0.325,0.287,0.196,0.258,0.32,0.3,0.308,0.338,0.322,0.201,0.262,NA,0.315,0.32,0.282,0.261,0.177,0.397,NA,0.207,0.169,0.192,0.024,0.338,0.342,0.234,0.36,NA,0.336,NA,0.282
"emp.dtree",0.209,0.226,0.141,0.963,0.83,0.696,0.798,0.764,0.571,NA,0.817,0.698,0.422,0.859,0.912,0.396,0.72,0.482,0.253,0.647,0.26,NA,0.876,0.29,0.172,0.446,0.779,0.212,NA,0.724,0.583,0.4,0.582,0.409,0.168,0.652,0.18,NA,0.243,NA,0.525
"emp.entrop",0.489,0.587,0.437,0.999,0.981,0.943,0.972,0.952,0.905,NA,0.984,0.954,0.775,0.975,0.992,0.782,0.962,0.853,0.614,0.915,0.604,NA,0.986,0.677,0.434,0.822,0.927,0.597,NA,0.939,0.872,0.756,0.699,0.801,0.497,0.928,0.536,NA,0.61,NA,0.793
"emp.icert",0.327,0.436,0.605,0,0.008,0.03,0.01,0.009,0.12,0.93,0.017,0.047,0.144,0.001,0.001,0.235,0.045,0.201,0.361,0.035,0.303,0.256,0.003,0.334,0.387,0.172,0.001,0.489,0.234,0.015,0.049,0.156,0.009,0.257,0.459,0.045,0.474,NA,0.384,0.658,0.211
