"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sCF",81.1,78.91,86.83,30.83,39.86,47.84,41.95,44.73,55.58,96.19,42,48.28,65.13,37.26,34.82,66.94,28.27,61.13,77.57,15.96,76.96,78.85,36.69,72.35,83.29,61.53,36.85,72.67,73,46.85,54.85,65.27,53.12,17.07,78.58,49.72,75.92,0,76.72,88,56.987
"br.length",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"emp.dnet",0.246,0.377,0.475,0.365,0.299,0.237,0.27,0.22,0.304,NA,0.325,0.287,0.196,0.258,0.32,0.3,0.308,0.338,0.322,0.201,0.262,NA,0.315,0.32,0.282,0.261,0.177,0.397,NA,0.207,0.169,0.192,0.024,0.338,0.342,0.234,0.36,NA,0.336,NA,0.282
"emp.dtree",0.209,0.226,0.141,0.963,0.83,0.696,0.798,0.764,0.571,NA,0.817,0.698,0.422,0.859,0.912,0.396,0.72,0.482,0.253,0.647,0.26,NA,0.876,0.29,0.172,0.446,0.779,0.212,NA,0.724,0.583,0.4,0.582,0.409,0.168,0.652,0.18,NA,0.243,NA,0.525
"emp.entrop",0.489,0.587,0.437,0.999,0.981,0.943,0.972,0.952,0.905,NA,0.984,0.954,0.775,0.975,0.992,0.782,0.962,0.853,0.614,0.915,0.604,NA,0.986,0.677,0.434,0.822,0.927,0.597,NA,0.939,0.872,0.756,0.699,0.801,0.497,0.928,0.536,NA,0.61,NA,0.793
"emp.icert",0.327,0.436,0.605,0,0.008,0.03,0.01,0.009,0.12,0.93,0.017,0.047,0.144,0.001,0.001,0.235,0.045,0.201,0.361,0.035,0.303,0.256,0.003,0.334,0.387,0.172,0.001,0.489,0.234,0.015,0.049,0.156,0.009,0.257,0.459,0.045,0.474,NA,0.384,0.658,0.211
"emp.binp",0.111,0.003,0,0.524,0.368,0.213,0.35,0.35,0.088,0.018,0.532,0.259,0.02,0.532,0.441,0.039,0.259,0.042,0.045,0.407,0.008,0.259,0.532,0.008,0.003,0.259,0.407,0.556,0.333,0.213,0.05,0.173,0.407,0.259,0.259,0.122,0.1,1,0.018,0.556,0.253
"emp.dstat",0.841,0.2,0.116,0.051,0.127,0.236,0.182,0.299,0.067,1,0.061,0.112,0.455,0.241,0.121,0.161,0.068,0.006,0.337,0.329,0.547,1,0.113,0.235,0.891,0.224,0.426,0.077,1,0.323,0.429,0.489,0.924,0.035,0.542,0.239,0.359,NA,0.299,1,0.363
"emp.kcstat",5.006,17.673,52.948,1.262,2.059,2.341,1.867,1.536,11.734,118.753,4.152,4.366,3.509,1.185,1.273,9.959,6.208,181.783,9.266,2.137,5.689,3.728,1.643,10.867,5.888,6.023,1.112,48.624,3.476,1.682,2.165,3.558,1.269,42.167,9.627,2.713,13.116,NA,10.89,14.667,16.101
"sCF.sim.1",97.67,81.93,94.21,46.77,26.45,47.31,49.63,63.76,65.94,100,36.57,56.9,83.76,66.14,42.12,87.61,54.2,85.92,83.72,84.67,95.45,86,18.81,80.81,85.25,8.5,51,92,2,76.28,68.75,76.5,71.58,15.33,90.37,89.59,92.44,18.33,39.22,3,62.912
"br.length.1",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.1.dnet",NA,0.247,0.512,0.11,0.296,0.333,0.313,0.329,0.209,NA,0.225,0.289,0.366,0.186,0.278,0.485,0.078,0.404,NA,0.388,0.532,NA,0.23,0.402,0.417,NA,0.043,0.604,NA,0.297,0.341,0.409,0.17,0.229,0.437,0.516,0.552,0.113,0.141,NA,0.318
